work_year,salary_in_usd
0.46116994333840255,95012
0.46116994333840255,186000
0.46116994333840255,81800
0.46116994333840255,212000
0.46116994333840255,93300
0.46116994333840255,130000
0.46116994333840255,100000
0.46116994333840255,224400
0.46116994333840255,138700
0.46116994333840255,210000
0.46116994333840255,168000
0.46116994333840255,224400
0.46116994333840255,138700
0.46116994333840255,43064
0.46116994333840255,36912
0.46116994333840255,95000
0.46116994333840255,75000
0.46116994333840255,300000
0.46116994333840255,234000
0.46116994333840255,140000
0.46116994333840255,120000
0.46116994333840255,204500
0.46116994333840255,142200
0.46116994333840255,155000
0.46116994333840255,110000
0.46116994333840255,266500
0.46116994333840255,152000
0.46116994333840255,222200
0.46116994333840255,136000
0.46116994333840255,273400
0.46116994333840255,182200
0.46116994333840255,167500
0.46116994333840255,106500
0.46116994333840255,185900
0.46116994333840255,129300
0.46116994333840255,185000
0.46116994333840255,79600
0.46116994333840255,122000
0.46116994333840255,94500
0.46116994333840255,247300
0.46116994333840255,139700
0.46116994333840255,176000
0.46116994333840255,100000
0.46116994333840255,204500
0.46116994333840255,142200
0.46116994333840255,247600
0.46116994333840255,127300
0.46116994333840255,223400
0.46116994333840255,186200
0.46116994333840255,167500
0.46116994333840255,106500
0.46116994333840255,185900
0.46116994333840255,129300
0.46116994333840255,72000
0.46116994333840255,64000
0.46116994333840255,179820
0.46116994333840255,143860
0.46116994333840255,283050
0.46116994333840255,188700
0.46116994333840255,133000
0.46116994333840255,58400
0.46116994333840255,141298
0.46116994333840255,115607
0.46116994333840255,100000
0.46116994333840255,75000
0.46116994333840255,266500
0.46116994333840255,144400
0.46116994333840255,71363
0.46116994333840255,55368
0.46116994333840255,287500
0.46116994333840255,156000
0.46116994333840255,90000
0.46116994333840255,70000
0.46116994333840255,199000
0.46116994333840255,162000
0.46116994333840255,170884
0.46116994333840255,113923
0.46116994333840255,184000
0.46116994333840255,123000
0.46116994333840255,235750
0.46116994333840255,174250
0.46116994333840255,165000
0.46116994333840255,118800
0.46116994333840255,225000
0.46116994333840255,150000
0.46116994333840255,213900
0.46116994333840255,116800
0.46116994333840255,220000
0.46116994333840255,150000
0.46116994333840255,150000
0.46116994333840255,100000
0.46116994333840255,247500
0.46116994333840255,172200
0.46116994333840255,155000
0.46116994333840255,120000
0.46116994333840255,226700
0.46116994333840255,133300
0.46116994333840255,184000
0.46116994333840255,123000
0.46116994333840255,130000
0.46116994333840255,117000
0.46116994333840255,160000
0.46116994333840255,140000
0.46116994333840255,166000
0.46116994333840255,73000
0.46116994333840255,185900
0.46116994333840255,129300
0.46116994333840255,130000
0.46116994333840255,104000
0.46116994333840255,143000
0.46116994333840255,116000
0.46116994333840255,165000
0.46116994333840255,118800
0.46116994333840255,220000
0.46116994333840255,180000
0.46116994333840255,184000
0.46116994333840255,123000
0.46116994333840255,215000
0.46116994333840255,200000
0.46116994333840255,253000
0.46116994333840255,131000
0.46116994333840255,220000
0.46116994333840255,176000
0.46116994333840255,49216
0.46116994333840255,36912
0.46116994333840255,210000
0.46116994333840255,147000
0.46116994333840255,186000
0.46116994333840255,161000
0.46116994333840255,205000
0.46116994333840255,152000
0.46116994333840255,220000
0.46116994333840255,190000
0.46116994333840255,205000
0.46116994333840255,152000
0.46116994333840255,137000
0.46116994333840255,110000
0.46116994333840255,172000
0.46116994333840255,146000
0.46116994333840255,148000
0.46116994333840255,99000
0.46116994333840255,150000
0.46116994333840255,130000
0.46116994333840255,105000
0.46116994333840255,99000
0.46116994333840255,52500
0.46116994333840255,180514
0.46116994333840255,108308
0.46116994333840255,210000
0.46116994333840255,147000
0.46116994333840255,290300
0.46116994333840255,196685
0.46116994333840255,220000
0.46116994333840255,176000
0.46116994333840255,175000
0.46116994333840255,130000
0.46116994333840255,185000
0.46116994333840255,150000
0.46116994333840255,145000
0.46116994333840255,115000
0.46116994333840255,133000
0.46116994333840255,58300
0.46116994333840255,115000
0.46116994333840255,95000
0.46116994333840255,110244
0.46116994333840255,39372
0.46116994333840255,43187
0.46116994333840255,31310
0.46116994333840255,92280
0.46116994333840255,67672
0.46116994333840255,92280
0.46116994333840255,67672
0.46116994333840255,75577
0.46116994333840255,303387
0.46116994333840255,100017
0.46116994333840255,230300
0.46116994333840255,140000
0.46116994333840255,124935
0.46116994333840255,76050
0.46116994333840255,224800
0.46116994333840255,131100
0.46116994333840255,258000
0.46116994333840255,171000
0.46116994333840255,196000
0.46116994333840255,121000
0.46116994333840255,195800
0.46116994333840255,171500
0.46116994333840255,166000
0.46116994333840255,73100
0.46116994333840255,220000
0.46116994333840255,160000
0.46116994333840255,85000
0.46116994333840255,65000
0.46116994333840255,220000
0.46116994333840255,100000
0.46116994333840255,185000
0.46116994333840255,152000
0.46116994333840255,220000
0.46116994333840255,100000
0.46116994333840255,48585
0.46116994333840255,38868
0.46116994333840255,220000
0.46116994333840255,100000
0.46116994333840255,220000
0.46116994333840255,100000
0.46116994333840255,220000
0.46116994333840255,100000
0.46116994333840255,110000
0.46116994333840255,80000
0.46116994333840255,36912
0.46116994333840255,150200
0.46116994333840255,71000
0.46116994333840255,167200
0.46116994333840255,121000
0.46116994333840255,133000
0.46116994333840255,58400
0.46116994333840255,135000
0.46116994333840255,110000
0.46116994333840255,104584
0.46116994333840255,73824
0.46116994333840255,187415
0.46116994333840255,114080
0.46116994333840255,187415
0.46116994333840255,114080
0.46116994333840255,166000
0.46116994333840255,73100
0.46116994333840255,306400
0.46116994333840255,168700
0.46116994333840255,187415
0.46116994333840255,114080
0.46116994333840255,32974
0.46116994333840255,32974
0.46116994333840255,165000
0.46116994333840255,140000
0.46116994333840255,150000
0.46116994333840255,167000
0.46116994333840255,121000
0.46116994333840255,185000
0.46116994333840255,79600
0.46116994333840255,190200
0.46116994333840255,95100
0.46116994333840255,133000
0.46116994333840255,58400
0.46116994333840255,90000
0.46116994333840255,70000
0.46116994333840255,166000
0.46116994333840255,73100
0.46116994333840255,135000
0.46116994333840255,100000
0.46116994333840255,180514
0.46116994333840255,108308
0.46116994333840255,294000
0.46116994333840255,192000
0.46116994333840255,266000
0.46116994333840255,167000
0.46116994333840255,200000
0.46116994333840255,150000
0.46116994333840255,163800
0.46116994333840255,88200
0.46116994333840255,180400
0.46116994333840255,138800
0.46116994333840255,67672
0.46116994333840255,55368
0.46116994333840255,319000
0.46116994333840255,206000
0.46116994333840255,215000
0.46116994333840255,142000
0.46116994333840255,266000
0.46116994333840255,167000
0.46116994333840255,140130
0.46116994333840255,84870
0.46116994333840255,178300
0.46116994333840255,105400
0.46116994333840255,222200
0.46116994333840255,136000
0.46116994333840255,215000
0.46116994333840255,142000
0.46116994333840255,240000
0.46116994333840255,210000
0.46116994333840255,122000
0.46116994333840255,94500
0.46116994333840255,150000
0.46116994333840255,116000
0.46116994333840255,90000
0.46116994333840255,145000
0.46116994333840255,128000
0.46116994333840255,154000
0.46116994333840255,126000
0.46116994333840255,240000
0.46116994333840255,157250
0.46116994333840255,219650
