work_year,job_title,job_category,salary_in_usd,company_size,work_setting,salary_category
1.0,0.3387096774193548,0.4444444444444444,0.18393563218390807,0.0,0.0,1
1.0,0.33064516129032256,0.3333333333333333,0.3931034482758621,0.5,0.5,2
1.0,0.33064516129032256,0.3333333333333333,0.1535632183908046,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.4528735632183908,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.18,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.26436781609195403,0.5,1.0,2
1.0,0.5564516129032258,0.7777777777777777,0.1954022988505747,0.5,1.0,1
1.0,0.8225806451612903,1.0,0.48137931034482756,0.5,0.5,2
1.0,0.8225806451612903,1.0,0.284367816091954,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.4482758620689655,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.35172413793103446,0.5,1.0,2
1.0,0.7741935483870968,1.0,0.48137931034482756,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.284367816091954,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.06451494252873563,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.05037241379310345,0.5,0.5,1
1.0,0.282258064516129,0.2222222222222222,0.1839080459770115,0.5,0.5,1
1.0,0.282258064516129,0.2222222222222222,0.13793103448275862,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.6551724137931035,0.5,0.5,3
1.0,0.5564516129032258,0.7777777777777777,0.503448275862069,0.5,0.5,3
1.0,0.056451612903225805,0.8888888888888888,0.28735632183908044,0.5,0.5,2
1.0,0.056451612903225805,0.8888888888888888,0.24137931034482757,0.5,0.5,1
1.0,0.7741935483870968,1.0,0.435632183908046,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.2924137931034483,0.5,0.5,2
1.0,0.282258064516129,0.2222222222222222,0.3218390804597701,0.5,0.5,2
1.0,0.282258064516129,0.2222222222222222,0.21839080459770116,0.5,0.5,1
1.0,0.7741935483870968,1.0,0.57816091954023,0.5,0.5,3
1.0,0.7741935483870968,1.0,0.31494252873563217,0.5,0.5,2
1.0,0.0967741935483871,0.7777777777777777,0.4763218390804597,0.0,0.5,2
1.0,0.0967741935483871,0.7777777777777777,0.27816091954022987,0.0,0.5,2
1.0,0.7741935483870968,1.0,0.5940229885057472,0.5,0.5,3
1.0,0.7741935483870968,1.0,0.38436781609195403,0.5,0.5,2
