work_year,job_title,job_category,salary_in_usd,company_size,work_setting
0.0,-0.058823529411764705,-1.0,-0.5922762672327611,-1.0,0
0.0,-0.08823529411764706,-1.3333333333333333,0.5307135011046246,0.0,1
0.0,-0.08823529411764706,-1.3333333333333333,-0.755341075990768,0.0,1
0.0,0.7352941176470589,0.0,0.8516100366562581,0.0,1
0.0,0.7352941176470589,0.0,-0.6134060698813917,0.0,1
0.0,0.7352941176470589,0.0,-0.16044826777581675,0.0,2
0.0,0.7352941176470589,0.0,-0.5307135011046246,0.0,2
0.0,1.7058823529411764,0.6666666666666666,1.0046529997654987,0.0,1
0.0,1.7058823529411764,0.6666666666666666,-0.05307135011046246,0.0,1
0.0,0.0,-1.0,0.826925687767671,0.0,2
0.0,0.0,-1.0,0.3085543611073399,0.0,2
0.0,1.5294117647058822,0.6666666666666666,1.0046529997654987,0.0,1
0.0,1.5294117647058822,0.6666666666666666,-0.05307135011046246,0.0,1
0.0,0.7352941176470589,0.0,-1.2334275452649248,0.0,1
0.0,0.7352941176470589,0.0,-1.3093566024462189,0.0,1
0.0,-0.2647058823529412,-1.6666666666666667,-0.5924243733260925,0.0,1
0.0,-0.2647058823529412,-1.6666666666666667,-0.8392678622119645,0.0,1
0.0,0.7352941176470589,0.0,1.9377213877540944,0.0,1
0.0,0.7352941176470589,0.0,1.1231378744307172,0.0,1
0.0,-1.088235294117647,0.3333333333333333,-0.037026523332880784,0.0,1
0.0,-1.088235294117647,0.3333333333333333,-0.2838700122187527,0.0,1
0.0,1.5294117647058822,0.6666666666666666,0.7590437283240561,0.0,1
0.0,1.5294117647058822,0.6666666666666666,-0.009873739555434876,0.0,1
0.0,-0.2647058823529412,-1.6666666666666667,0.14810609333152314,0.0,1
0.0,-0.2647058823529412,-1.6666666666666667,-0.40729175666168865,0.0,1
0.0,1.5294117647058822,0.6666666666666666,1.5242585438702592,0.0,1
0.0,1.5294117647058822,0.6666666666666666,0.11107956999864237,0.0,1
0.0,-0.9411764705882353,0.0,0.9775002159880528,-1.0,1
0.0,-0.9411764705882353,0.0,-0.08639522111005517,-1.0,1
0.0,1.5294117647058822,0.6666666666666666,1.6094195475358848,0.0,1
